family,model,total_time,method,resolution,gate_proxy,spectral_error,trace_fidelity
TFIM,TFIM_4q_J2.0_h0.25,0.5,trotter1,2,4,0.17576100398665867,0.9908238077630096
TFIM,TFIM_4q_J2.0_h0.25,0.5,trotter1,4,8,0.08561567233501037,0.997810873354632
TFIM,TFIM_4q_J2.0_h0.25,0.5,trotter1,6,12,0.056819189691753196,0.9990348851620046
TFIM,TFIM_4q_J2.0_h0.25,0.5,suzuki2,2,6,0.02317914557257994,0.9998331127058294
TFIM,TFIM_4q_J2.0_h0.25,0.5,suzuki2,4,12,0.005428441557081138,0.9999909607375627
TFIM,TFIM_4q_J2.0_h0.25,0.5,suzuki2,6,18,0.0023851037613989803,0.9999982585886037
TFIM,TFIM_4q_J2.0_h0.25,0.5,cartan_restricted,2,6,0.284006412592274,0.9745345353107581
TFIM,TFIM_4q_J2.0_h0.25,0.5,cartan_restricted,4,12,0.28400641259227627,0.9745345353107581
TFIM,TFIM_4q_J2.0_h0.25,0.5,cartan_restricted,6,18,0.28400641259227816,0.9745345353107592
TFIM,TFIM_4q_J2.0_h0.25,0.5,lc_qaoa,2,6,0.0914664301892222,0.9974052818770277
TFIM,TFIM_4q_J2.0_h0.25,0.5,lc_qaoa,4,12,0.021644695823951635,0.9998563155885005
TFIM,TFIM_4q_J2.0_h0.25,0.5,lc_qaoa,6,18,0.009527030707596255,0.9999722172958303
TFIM,TFIM_4q_J2.0_h0.25,0.5,alt_qaoa_fit,2,4,0.03195303544475396,0.9997037097990265
TFIM,TFIM_4q_J2.0_h0.25,0.5,alt_qaoa_fit,4,8,0.0013395669968510853,0.9999994903205408
TFIM,TFIM_4q_J2.0_h0.25,0.5,alt_qaoa_fit,6,12,0.0005381484395152798,0.9999999192157388
TFIM,TFIM_4q_J2.0_h0.25,0.5,prl_cartan_fit,2,9,0.335952805148293,0.9637995358761842
TFIM,TFIM_4q_J2.0_h0.25,0.5,prl_cartan_fit,4,17,0.33599941327926114,0.9637923746871351
TFIM,TFIM_4q_J2.0_h0.25,0.5,prl_cartan_fit,6,25,0.33600882713016894,0.9637910462537203
TFIM,TFIM_4q_J2.0_h0.25,0.5,cartan_qaoa_fit,2,9,0.2669877521642113,0.9803902971048798
TFIM,TFIM_4q_J2.0_h0.25,0.5,cartan_qaoa_fit,4,17,0.26689681862613485,0.9804062599790515
TFIM,TFIM_4q_J2.0_h0.25,0.5,cartan_qaoa_fit,6,25,0.2668973574118394,0.9804069437439601
