model,n_qubits,coupling_j,field_h,total_time,method,resolution,gate_proxy,spectral_error,trace_fidelity
TFIM_4q_J0.5_h0.5,4,0.5,0.5,1.0,trotter1,1,2,0.9048939617483518,0.7646487953243869
TFIM_4q_J0.5_h0.5,4,0.5,0.5,1.0,trotter1,2,4,0.42579850753299575,0.9458974116680134
TFIM_4q_J0.5_h0.5,4,0.5,0.5,1.0,trotter1,4,8,0.209778851432306,0.9867579440749531
TFIM_4q_J0.5_h0.5,4,0.5,0.5,1.0,suzuki2,1,3,0.3372939052982485,0.9648833438421314
TFIM_4q_J0.5_h0.5,4,0.5,0.5,1.0,suzuki2,2,6,0.07578370282332135,0.998243224121803
TFIM_4q_J0.5_h0.5,4,0.5,0.5,1.0,suzuki2,4,12,0.01846797447214331,0.9998959293895745
TFIM_4q_J0.5_h0.5,4,0.5,0.5,1.0,cartan_restricted,1,3,1.146612981846405,0.612638015587159
TFIM_4q_J0.5_h0.5,4,0.5,0.5,1.0,cartan_restricted,2,6,1.146612981846406,0.6126380155871594
TFIM_4q_J0.5_h0.5,4,0.5,0.5,1.0,cartan_restricted,4,12,1.146612981846407,0.6126380155871604
TFIM_4q_J0.5_h0.5,4,0.5,0.5,1.0,lc_qaoa,1,3,1.1619872281678176,0.6149836249573484
TFIM_4q_J0.5_h0.5,4,0.5,0.5,1.0,lc_qaoa,2,6,0.30041897042083077,0.9724578828530545
TFIM_4q_J0.5_h0.5,4,0.5,0.5,1.0,lc_qaoa,4,12,0.07380445252231749,0.9983371490700474
TFIM_4q_J0.5_h0.5,4,0.5,0.5,1.0,alt_qaoa_fit,1,2,0.8243089487723524,0.8044631202431417
TFIM_4q_J0.5_h0.5,4,0.5,0.5,1.0,alt_qaoa_fit,2,4,0.054011566590913246,0.9989641198329405
TFIM_4q_J0.5_h0.5,4,0.5,0.5,1.0,alt_qaoa_fit,4,8,0.007270353778519855,0.9999834191976612
TFIM_4q_J0.5_h0.5,4,0.5,0.5,1.0,prl_cartan_fit,1,7,1.1466129822848503,0.6126380154656604
TFIM_4q_J0.5_h0.5,4,0.5,0.5,1.0,prl_cartan_fit,2,13,1.1466129852940887,0.6126380146317518
TFIM_4q_J0.5_h0.5,4,0.5,0.5,1.0,prl_cartan_fit,4,25,1.1466129824006954,0.6126380154335658
TFIM_4q_J0.5_h0.5,4,0.5,0.5,1.0,cartan_qaoa_fit,1,7,1.1318477510171647,0.6162996125681971
TFIM_4q_J0.5_h0.5,4,0.5,0.5,1.0,cartan_qaoa_fit,2,13,1.1318477514378278,0.6162996124944407
TFIM_4q_J0.5_h0.5,4,0.5,0.5,1.0,cartan_qaoa_fit,4,25,1.131847750804475,0.6162996126054981
TFIM_4q_J0.5_h0.5,4,0.5,0.5,2.0,trotter1,1,2,1.8454922675061758,0.13426217865048104
TFIM_4q_J0.5_h0.5,4,0.5,0.5,2.0,trotter1,2,4,0.7729331073611754,0.7679495519410015
TFIM_4q_J0.5_h0.5,4,0.5,0.5,2.0,trotter1,4,8,0.356217581813086,0.9457090326955677
TFIM_4q_J0.5_h0.5,4,0.5,0.5,2.0,suzuki2,1,3,1.5342586959591964,0.37113114737732605
TFIM_4q_J0.5_h0.5,4,0.5,0.5,2.0,suzuki2,2,6,0.3171773101507999,0.9643897090626836
TFIM_4q_J0.5_h0.5,4,0.5,0.5,2.0,suzuki2,4,12,0.07303459244068905,0.9980721110095169
TFIM_4q_J0.5_h0.5,4,0.5,0.5,2.0,cartan_restricted,1,3,1.7337277869254828,0.20289611368259766
TFIM_4q_J0.5_h0.5,4,0.5,0.5,2.0,cartan_restricted,2,6,1.7337277869254835,0.20289611368259766
TFIM_4q_J0.5_h0.5,4,0.5,0.5,2.0,cartan_restricted,4,12,1.7337277869254835,0.20289611368259797
TFIM_4q_J0.5_h0.5,4,0.5,0.5,2.0,lc_qaoa,1,3,1.9984047422215867,0.021539354690599356
TFIM_4q_J0.5_h0.5,4,0.5,0.5,2.0,lc_qaoa,2,6,1.3467318033917128,0.4525562738420164
TFIM_4q_J0.5_h0.5,4,0.5,0.5,2.0,lc_qaoa,4,12,0.309085414817661,0.9662547648203671
TFIM_4q_J0.5_h0.5,4,0.5,0.5,2.0,alt_qaoa_fit,1,2,1.587214506374172,0.2933145765378827
TFIM_4q_J0.5_h0.5,4,0.5,0.5,2.0,alt_qaoa_fit,2,4,0.6222748076677522,0.8846923858292353
TFIM_4q_J0.5_h0.5,4,0.5,0.5,2.0,alt_qaoa_fit,4,8,0.05530290594451086,0.9990602679405522
TFIM_4q_J0.5_h0.5,4,0.5,0.5,2.0,prl_cartan_fit,1,7,1.7337277875005952,0.20289611341553776
TFIM_4q_J0.5_h0.5,4,0.5,0.5,2.0,prl_cartan_fit,2,13,1.7337277914478277,0.20289611158258838
TFIM_4q_J0.5_h0.5,4,0.5,0.5,2.0,prl_cartan_fit,4,25,1.7337277876525472,0.20289611334498023
TFIM_4q_J0.5_h0.5,4,0.5,0.5,2.0,cartan_qaoa_fit,1,7,1.6612632108654377,0.24133134551740987
TFIM_4q_J0.5_h0.5,4,0.5,0.5,2.0,cartan_qaoa_fit,2,13,1.6612632120618842,0.24133134458083408
TFIM_4q_J0.5_h0.5,4,0.5,0.5,2.0,cartan_qaoa_fit,4,25,1.661263212631802,0.24133134413470544
TFIM_4q_J0.5_h1.0,4,0.5,1.0,1.0,trotter1,1,2,1.2496701091926978,0.5635166695580245
TFIM_4q_J0.5_h1.0,4,0.5,1.0,1.0,trotter1,2,4,0.4815410672586248,0.9237368482527697
TFIM_4q_J0.5_h1.0,4,0.5,1.0,1.0,trotter1,4,8,0.22808926508591593,0.9824199189531039
TFIM_4q_J0.5_h1.0,4,0.5,1.0,1.0,suzuki2,1,3,0.9128426926467803,0.7592961929954548
